,StatisticCrimeGroup,StatisticCrimeType,Quarter,Religious level,TikimSum
1450,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q2,מסורתיים,4
1451,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q3,דתיים,11
1452,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q3,חילונים,49
1453,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q3,חרדים,2
1454,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q3,מסורתיים,5
1455,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q4,דתיים,4
1456,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q4,חילונים,41
1457,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q4,חרדים,2
1458,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2020-Q4,מסורתיים,4
1459,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q1,דתיים,9
1460,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q1,חילונים,32
1461,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q1,חרדים,2
1462,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q1,מסורתיים,3
1463,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q2,דתיים,13
1464,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q2,חילונים,54
1465,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q2,חרדים,2
1466,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q2,מסורתיים,5
1467,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q3,דתיים,7
1468,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q3,חילונים,85
1469,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q3,חרדים,4
1470,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q3,מסורתיים,5
1471,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q4,דתיים,8
1472,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q4,חילונים,85
1473,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q4,חרדים,3
1474,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2021-Q4,מסורתיים,5
1475,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q1,דתיים,16
1476,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q1,חילונים,64
1477,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q1,חרדים,4
1478,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q1,מסורתיים,5
1479,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q2,דתיים,18
1480,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q2,חילונים,150
1481,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q2,חרדים,5
1482,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q2,מסורתיים,4
1483,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q3,דתיים,12
1484,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q3,חילונים,51
1485,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q3,חרדים,1
1486,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q3,מסורתיים,3
1487,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q4,דתיים,10
1488,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q4,חילונים,43
1489,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q4,חרדים,7
1490,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2022-Q4,מסורתיים,7
1491,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2023-Q1,דתיים,16
1492,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2023-Q1,חילונים,43
1493,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2023-Q1,חרדים,5
1494,עבירות כלפי הרכוש,"גניבה ע""י עובדים וסוכנים",2023-Q1,מסורתיים,15
1495,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q1,דתיים,325
1496,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q1,חילונים,1792
1497,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q1,חרדים,46
1498,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q1,מסורתיים,150
1499,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q2,דתיים,402
1500,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q2,חילונים,1394
1501,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q2,חרדים,46
1502,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q2,מסורתיים,148
1503,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q3,דתיים,318
1504,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q3,חילונים,1426
1505,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q3,חרדים,36
1506,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q3,מסורתיים,126
1507,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q4,דתיים,412
1508,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q4,חילונים,1690
1509,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q4,חרדים,57
1510,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2018-Q4,מסורתיים,143
1511,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q1,דתיים,331
1512,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q1,חילונים,1599
1513,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q1,חרדים,58
1514,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q1,מסורתיים,113
1515,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q2,דתיים,270
1516,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q2,חילונים,1528
1517,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q2,חרדים,49
1518,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q2,מסורתיים,117
1519,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q3,דתיים,271
1520,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q3,חילונים,1605
1521,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q3,חרדים,61
1522,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q3,מסורתיים,127
1523,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q4,דתיים,292
1524,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q4,חילונים,1564
1525,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q4,חרדים,49
1526,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2019-Q4,מסורתיים,180
1527,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q1,דתיים,244
1528,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q1,חילונים,1459
1529,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q1,חרדים,51
1530,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q1,מסורתיים,112
1531,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q2,דתיים,199
1532,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q2,חילונים,1048
1533,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q2,חרדים,45
1534,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q2,מסורתיים,101
1535,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q3,דתיים,277
1536,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q3,חילונים,1593
1537,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q3,חרדים,44
1538,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q3,מסורתיים,99
1539,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q4,דתיים,222
1540,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q4,חילונים,1685
1541,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q4,חרדים,38
1542,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2020-Q4,מסורתיים,104
1543,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q1,דתיים,222
1544,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q1,חילונים,1643
1545,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q1,חרדים,58
1546,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q1,מסורתיים,111
1547,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q2,דתיים,351
1548,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q2,חילונים,1729
1549,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q2,חרדים,46
1550,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q2,מסורתיים,137
1551,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q3,דתיים,310
1552,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q3,חילונים,2079
1553,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q3,חרדים,67
1554,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q3,מסורתיים,186
1555,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q4,דתיים,333
1556,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q4,חילונים,2715
1557,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q4,חרדים,74
1558,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2021-Q4,מסורתיים,198
1559,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q1,דתיים,287
1560,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q1,חילונים,3114
1561,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q1,חרדים,65
1562,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q1,מסורתיים,232
1563,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q2,דתיים,313
1564,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q2,חילונים,2500
1565,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q2,חרדים,46
1566,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q2,מסורתיים,208
1567,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q3,דתיים,367
1568,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q3,חילונים,2979
1569,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q3,חרדים,67
1570,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q3,מסורתיים,227
1571,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q4,דתיים,327
1572,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q4,חילונים,3431
1573,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q4,חרדים,68
1574,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2022-Q4,מסורתיים,224
1575,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2023-Q1,דתיים,278
1576,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2023-Q1,חילונים,3637
1577,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2023-Q1,חרדים,56
1578,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2023-Q1,מסורתיים,344
1579,עבירות כלפי הרכוש,גניבות אחרות,2018-Q1,דתיים,1033
1580,עבירות כלפי הרכוש,גניבות אחרות,2018-Q1,חילונים,7334
1581,עבירות כלפי הרכוש,גניבות אחרות,2018-Q1,חרדים,322
1582,עבירות כלפי הרכוש,גניבות אחרות,2018-Q1,מסורתיים,644
1583,עבירות כלפי הרכוש,גניבות אחרות,2018-Q2,דתיים,1007
1584,עבירות כלפי הרכוש,גניבות אחרות,2018-Q2,חילונים,7658
1585,עבירות כלפי הרכוש,גניבות אחרות,2018-Q2,חרדים,341
1586,עבירות כלפי הרכוש,גניבות אחרות,2018-Q2,מסורתיים,607
1587,עבירות כלפי הרכוש,גניבות אחרות,2018-Q3,דתיים,1091
1588,עבירות כלפי הרכוש,גניבות אחרות,2018-Q3,חילונים,7635
1589,עבירות כלפי הרכוש,גניבות אחרות,2018-Q3,חרדים,302
1590,עבירות כלפי הרכוש,גניבות אחרות,2018-Q3,מסורתיים,519
1591,עבירות כלפי הרכוש,גניבות אחרות,2018-Q4,דתיים,1047
1592,עבירות כלפי הרכוש,גניבות אחרות,2018-Q4,חילונים,7574
1593,עבירות כלפי הרכוש,גניבות אחרות,2018-Q4,חרדים,388
1594,עבירות כלפי הרכוש,גניבות אחרות,2018-Q4,מסורתיים,537
1595,עבירות כלפי הרכוש,גניבות אחרות,2019-Q1,דתיים,915
1596,עבירות כלפי הרכוש,גניבות אחרות,2019-Q1,חילונים,7112
1597,עבירות כלפי הרכוש,גניבות אחרות,2019-Q1,חרדים,302
1598,עבירות כלפי הרכוש,גניבות אחרות,2019-Q1,מסורתיים,534
1599,עבירות כלפי הרכוש,גניבות אחרות,2019-Q2,דתיים,910
1600,עבירות כלפי הרכוש,גניבות אחרות,2019-Q2,חילונים,7540
1601,עבירות כלפי הרכוש,גניבות אחרות,2019-Q2,חרדים,364
1602,עבירות כלפי הרכוש,גניבות אחרות,2019-Q2,מסורתיים,556
1603,עבירות כלפי הרכוש,גניבות אחרות,2019-Q3,דתיים,895
1604,עבירות כלפי הרכוש,גניבות אחרות,2019-Q3,חילונים,7924
1605,עבירות כלפי הרכוש,גניבות אחרות,2019-Q3,חרדים,355
1606,עבירות כלפי הרכוש,גניבות אחרות,2019-Q3,מסורתיים,527
1607,עבירות כלפי הרכוש,גניבות אחרות,2019-Q4,דתיים,801
1608,עבירות כלפי הרכוש,גניבות אחרות,2019-Q4,חילונים,7046
1609,עבירות כלפי הרכוש,גניבות אחרות,2019-Q4,חרדים,318
1610,עבירות כלפי הרכוש,גניבות אחרות,2019-Q4,מסורתיים,494
1611,עבירות כלפי הרכוש,גניבות אחרות,2020-Q1,דתיים,722
1612,עבירות כלפי הרכוש,גניבות אחרות,2020-Q1,חילונים,5978
1613,עבירות כלפי הרכוש,גניבות אחרות,2020-Q1,חרדים,288
1614,עבירות כלפי הרכוש,גניבות אחרות,2020-Q1,מסורתיים,495
1615,עבירות כלפי הרכוש,גניבות אחרות,2020-Q2,דתיים,549
1616,עבירות כלפי הרכוש,גניבות אחרות,2020-Q2,חילונים,5266
1617,עבירות כלפי הרכוש,גניבות אחרות,2020-Q2,חרדים,203
1618,עבירות כלפי הרכוש,גניבות אחרות,2020-Q2,מסורתיים,469
1619,עבירות כלפי הרכוש,גניבות אחרות,2020-Q3,דתיים,645
1620,עבירות כלפי הרכוש,גניבות אחרות,2020-Q3,חילונים,6163
1621,עבירות כלפי הרכוש,גניבות אחרות,2020-Q3,חרדים,252
1622,עבירות כלפי הרכוש,גניבות אחרות,2020-Q3,מסורתיים,452
1623,עבירות כלפי הרכוש,גניבות אחרות,2020-Q4,דתיים,592
1624,עבירות כלפי הרכוש,גניבות אחרות,2020-Q4,חילונים,5373
1625,עבירות כלפי הרכוש,גניבות אחרות,2020-Q4,חרדים,243
1626,עבירות כלפי הרכוש,גניבות אחרות,2020-Q4,מסורתיים,437
1627,עבירות כלפי הרכוש,גניבות אחרות,2021-Q1,דתיים,496
1628,עבירות כלפי הרכוש,גניבות אחרות,2021-Q1,חילונים,4923
1629,עבירות כלפי הרכוש,גניבות אחרות,2021-Q1,חרדים,287
1630,עבירות כלפי הרכוש,גניבות אחרות,2021-Q1,מסורתיים,412
1631,עבירות כלפי הרכוש,גניבות אחרות,2021-Q2,דתיים,710
1632,עבירות כלפי הרכוש,גניבות אחרות,2021-Q2,חילונים,6032
1633,עבירות כלפי הרכוש,גניבות אחרות,2021-Q2,חרדים,297
1634,עבירות כלפי הרכוש,גניבות אחרות,2021-Q2,מסורתיים,477
1635,עבירות כלפי הרכוש,גניבות אחרות,2021-Q3,דתיים,801
1636,עבירות כלפי הרכוש,גניבות אחרות,2021-Q3,חילונים,6213
1637,עבירות כלפי הרכוש,גניבות אחרות,2021-Q3,חרדים,259
1638,עבירות כלפי הרכוש,גניבות אחרות,2021-Q3,מסורתיים,525
1639,עבירות כלפי הרכוש,גניבות אחרות,2021-Q4,דתיים,802
1640,עבירות כלפי הרכוש,גניבות אחרות,2021-Q4,חילונים,6368
1641,עבירות כלפי הרכוש,גניבות אחרות,2021-Q4,חרדים,291
1642,עבירות כלפי הרכוש,גניבות אחרות,2021-Q4,מסורתיים,508
1643,עבירות כלפי הרכוש,גניבות אחרות,2022-Q1,דתיים,698
1644,עבירות כלפי הרכוש,גניבות אחרות,2022-Q1,חילונים,5730
1645,עבירות כלפי הרכוש,גניבות אחרות,2022-Q1,חרדים,290
1646,עבירות כלפי הרכוש,גניבות אחרות,2022-Q1,מסורתיים,520
1647,עבירות כלפי הרכוש,גניבות אחרות,2022-Q2,דתיים,791
1648,עבירות כלפי הרכוש,גניבות אחרות,2022-Q2,חילונים,6495
1649,עבירות כלפי הרכוש,גניבות אחרות,2022-Q2,חרדים,269
1650,עבירות כלפי הרכוש,גניבות אחרות,2022-Q2,מסורתיים,621
1651,עבירות כלפי הרכוש,גניבות אחרות,2022-Q3,דתיים,849
1652,עבירות כלפי הרכוש,גניבות אחרות,2022-Q3,חילונים,6716
1653,עבירות כלפי הרכוש,גניבות אחרות,2022-Q3,חרדים,239
1654,עבירות כלפי הרכוש,גניבות אחרות,2022-Q3,מסורתיים,625
1655,עבירות כלפי הרכוש,גניבות אחרות,2022-Q4,דתיים,841
1656,עבירות כלפי הרכוש,גניבות אחרות,2022-Q4,חילונים,6334
1657,עבירות כלפי הרכוש,גניבות אחרות,2022-Q4,חרדים,285
1658,עבירות כלפי הרכוש,גניבות אחרות,2022-Q4,מסורתיים,591
1659,עבירות כלפי הרכוש,גניבות אחרות,2023-Q1,דתיים,793
1660,עבירות כלפי הרכוש,גניבות אחרות,2023-Q1,חילונים,5981
1661,עבירות כלפי הרכוש,גניבות אחרות,2023-Q1,חרדים,258
1662,עבירות כלפי הרכוש,גניבות אחרות,2023-Q1,מסורתיים,517
1663,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q1,דתיים,2
1664,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q1,חילונים,3
1665,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q1,מסורתיים,1
1666,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q2,דתיים,3
1667,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q2,חילונים,2
1668,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q2,חרדים,1
1669,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q2,מסורתיים,1
1670,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q3,חילונים,1
1671,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q3,מסורתיים,1
1672,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q4,דתיים,2
1673,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q4,חילונים,3
1674,עבירות כלפי הרכוש,גניבות חקלאיות,2018-Q4,מסורתיים,1
1675,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q1,דתיים,1
1676,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q1,חילונים,9
1677,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q1,מסורתיים,2
1678,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q2,דתיים,2
1679,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q2,חילונים,3
1680,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q2,מסורתיים,3
1681,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q3,דתיים,2
1682,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q3,חילונים,4
1683,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q3,מסורתיים,1
1684,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q4,חילונים,2
1685,עבירות כלפי הרכוש,גניבות חקלאיות,2019-Q4,מסורתיים,1
1686,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q1,חילונים,7
1687,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q1,מסורתיים,2
1688,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q2,דתיים,2
1689,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q2,חילונים,4
1690,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q2,חרדים,1
1691,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q3,חרדים,1
1692,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q4,חילונים,1
1693,עבירות כלפי הרכוש,גניבות חקלאיות,2020-Q4,מסורתיים,2
1694,עבירות כלפי הרכוש,גניבות חקלאיות,2021-Q1,חילונים,1
1695,עבירות כלפי הרכוש,גניבות חקלאיות,2021-Q2,חילונים,2
1696,עבירות כלפי הרכוש,גניבות חקלאיות,2021-Q3,חילונים,2
1697,עבירות כלפי הרכוש,גניבות חקלאיות,2021-Q4,חילונים,2
1698,עבירות כלפי הרכוש,גניבות חקלאיות,2021-Q4,מסורתיים,1
1699,עבירות כלפי הרכוש,גניבות חקלאיות,2022-Q1,דתיים,1
1700,עבירות כלפי הרכוש,גניבות חקלאיות,2022-Q1,מסורתיים,1
1701,עבירות כלפי הרכוש,גניבות חקלאיות,2022-Q2,חילונים,2
1702,עבירות כלפי הרכוש,גניבות חקלאיות,2022-Q2,מסורתיים,1
1703,עבירות כלפי הרכוש,גניבות חקלאיות,2022-Q3,חרדים,1
1704,עבירות כלפי הרכוש,גניבות חקלאיות,2023-Q1,חילונים,1
1705,עבירות כלפי הרכוש,גניבת אופניים,2018-Q1,דתיים,54
1706,עבירות כלפי הרכוש,גניבת אופניים,2018-Q1,חילונים,720
1707,עבירות כלפי הרכוש,גניבת אופניים,2018-Q1,חרדים,103
1708,עבירות כלפי הרכוש,גניבת אופניים,2018-Q1,מסורתיים,26
1709,עבירות כלפי הרכוש,גניבת אופניים,2018-Q2,דתיים,58
1710,עבירות כלפי הרכוש,גניבת אופניים,2018-Q2,חילונים,851
1711,עבירות כלפי הרכוש,גניבת אופניים,2018-Q2,חרדים,63
1712,עבירות כלפי הרכוש,גניבת אופניים,2018-Q2,מסורתיים,29
1713,עבירות כלפי הרכוש,גניבת אופניים,2018-Q3,דתיים,65
1714,עבירות כלפי הרכוש,גניבת אופניים,2018-Q3,חילונים,835
1715,עבירות כלפי הרכוש,גניבת אופניים,2018-Q3,חרדים,80
1716,עבירות כלפי הרכוש,גניבת אופניים,2018-Q3,מסורתיים,31
1717,עבירות כלפי הרכוש,גניבת אופניים,2018-Q4,דתיים,74
1718,עבירות כלפי הרכוש,גניבת אופניים,2018-Q4,חילונים,774
1719,עבירות כלפי הרכוש,גניבת אופניים,2018-Q4,חרדים,108
1720,עבירות כלפי הרכוש,גניבת אופניים,2018-Q4,מסורתיים,29
1721,עבירות כלפי הרכוש,גניבת אופניים,2019-Q1,דתיים,51
1722,עבירות כלפי הרכוש,גניבת אופניים,2019-Q1,חילונים,558
1723,עבירות כלפי הרכוש,גניבת אופניים,2019-Q1,חרדים,54
1724,עבירות כלפי הרכוש,גניבת אופניים,2019-Q1,מסורתיים,33
1725,עבירות כלפי הרכוש,גניבת אופניים,2019-Q2,דתיים,64
1726,עבירות כלפי הרכוש,גניבת אופניים,2019-Q2,חילונים,543
1727,עבירות כלפי הרכוש,גניבת אופניים,2019-Q2,חרדים,70
1728,עבירות כלפי הרכוש,גניבת אופניים,2019-Q2,מסורתיים,30
1729,עבירות כלפי הרכוש,גניבת אופניים,2019-Q3,דתיים,72
1730,עבירות כלפי הרכוש,גניבת אופניים,2019-Q3,חילונים,702
1731,עבירות כלפי הרכוש,גניבת אופניים,2019-Q3,חרדים,77
1732,עבירות כלפי הרכוש,גניבת אופניים,2019-Q3,מסורתיים,37
1733,עבירות כלפי הרכוש,גניבת אופניים,2019-Q4,דתיים,53
1734,עבירות כלפי הרכוש,גניבת אופניים,2019-Q4,חילונים,768
1735,עבירות כלפי הרכוש,גניבת אופניים,2019-Q4,חרדים,37
1736,עבירות כלפי הרכוש,גניבת אופניים,2019-Q4,מסורתיים,30
1737,עבירות כלפי הרכוש,גניבת אופניים,2020-Q1,דתיים,55
1738,עבירות כלפי הרכוש,גניבת אופניים,2020-Q1,חילונים,541
1739,עבירות כלפי הרכוש,גניבת אופניים,2020-Q1,חרדים,66
1740,עבירות כלפי הרכוש,גניבת אופניים,2020-Q1,מסורתיים,11
1741,עבירות כלפי הרכוש,גניבת אופניים,2020-Q2,דתיים,58
1742,עבירות כלפי הרכוש,גניבת אופניים,2020-Q2,חילונים,634
1743,עבירות כלפי הרכוש,גניבת אופניים,2020-Q2,חרדים,53
1744,עבירות כלפי הרכוש,גניבת אופניים,2020-Q2,מסורתיים,23
1745,עבירות כלפי הרכוש,גניבת אופניים,2020-Q3,דתיים,64
1746,עבירות כלפי הרכוש,גניבת אופניים,2020-Q3,חילונים,727
1747,עבירות כלפי הרכוש,גניבת אופניים,2020-Q3,חרדים,79
1748,עבירות כלפי הרכוש,גניבת אופניים,2020-Q3,מסורתיים,28
1749,עבירות כלפי הרכוש,גניבת אופניים,2020-Q4,דתיים,69
1750,עבירות כלפי הרכוש,גניבת אופניים,2020-Q4,חילונים,839
1751,עבירות כלפי הרכוש,גניבת אופניים,2020-Q4,חרדים,80
1752,עבירות כלפי הרכוש,גניבת אופניים,2020-Q4,מסורתיים,27
1753,עבירות כלפי הרכוש,גניבת אופניים,2021-Q1,דתיים,63
1754,עבירות כלפי הרכוש,גניבת אופניים,2021-Q1,חילונים,742
1755,עבירות כלפי הרכוש,גניבת אופניים,2021-Q1,חרדים,42
1756,עבירות כלפי הרכוש,גניבת אופניים,2021-Q1,מסורתיים,21
1757,עבירות כלפי הרכוש,גניבת אופניים,2021-Q2,דתיים,74
1758,עבירות כלפי הרכוש,גניבת אופניים,2021-Q2,חילונים,945
1759,עבירות כלפי הרכוש,גניבת אופניים,2021-Q2,חרדים,60
