StatisticCrimeGroup,Cluster,Quarter,TikimSum,norm
עבירות כלכליות,4.0,2018-Q2,7,0.2646668671864757
עבירות כלכליות,4.0,2018-Q3,5,0.18904776227605408
עבירות כלכליות,4.0,2018-Q4,6,0.22685731473126491
עבירות כלכליות,4.0,2019-Q1,11,0.415905077007319
עבירות כלכליות,4.0,2019-Q2,10,0.37809552455210815
עבירות כלכליות,4.0,2019-Q3,2,0.07561910491042163
עבירות כלכליות,4.0,2019-Q4,7,0.2646668671864757
עבירות כלכליות,4.0,2020-Q1,19,0.7183814966490055
עבירות כלכליות,4.0,2020-Q2,21,0.7940006015594272
עבירות כלכליות,4.0,2020-Q3,5,0.18904776227605408
עבירות כלכליות,4.0,2020-Q4,9,0.34028597209689737
עבירות כלכליות,4.0,2021-Q1,36,1.3611438883875895
עבירות כלכליות,4.0,2021-Q2,19,0.7183814966490055
עבירות כלכליות,4.0,2021-Q3,20,0.7561910491042163
עבירות כלכליות,4.0,2021-Q4,23,0.8696197064698488
עבירות כלכליות,4.0,2022-Q1,26,0.9830483638354812
עבירות כלכליות,4.0,2022-Q2,53,2.003906280126173
עבירות כלכליות,4.0,2022-Q3,49,1.85266807030533
עבירות כלכליות,4.0,2022-Q4,36,1.3611438883875895
עבירות כלכליות,4.0,2023-Q1,39,1.474572545753222
עבירות כלכליות,5.0,2018-Q1,39,6.499498700477392
עבירות כלכליות,5.0,2018-Q2,22,3.66638388232058
עבירות כלכליות,5.0,2018-Q3,17,2.8331148181568118
עבירות כלכליות,5.0,2018-Q4,13,2.1664995668257974
עבירות כלכליות,5.0,2019-Q1,78,12.998997400954783
עבירות כלכליות,5.0,2019-Q2,47,7.8327292031394204
עבירות כלכליות,5.0,2019-Q3,39,6.499498700477392
עבירות כלכליות,5.0,2019-Q4,29,4.832960572149855
עבירות כלכליות,5.0,2020-Q1,62,10.332536395630726
עבירות כלכליות,5.0,2020-Q2,53,8.832652080135942
עבירות כלכליות,5.0,2020-Q3,26,4.332999133651595
עבירות כלכליות,5.0,2020-Q4,49,8.166036828804927
עבירות כלכליות,5.0,2021-Q1,76,12.665689775289275
עבירות כלכליות,5.0,2021-Q2,110,18.3319194116029
עבירות כלכליות,5.0,2021-Q3,126,20.998380416926956
עבירות כלכליות,5.0,2021-Q4,124,20.66507279126145
עבירות כלכליות,5.0,2022-Q1,151,25.164725737745798
עבירות כלכליות,5.0,2022-Q2,237,39.49695364136261
עבירות כלכליות,5.0,2022-Q3,227,37.83041551303507
עבירות כלכליות,5.0,2022-Q4,283,47.163029031669275
עבירות כלכליות,5.0,2023-Q1,284,47.32968284450203
עבירות כלכליות,6.0,2018-Q1,5,0.3659743591721103
עבירות כלכליות,6.0,2018-Q2,6,0.4391692310065323
עבירות כלכליות,6.0,2018-Q3,10,0.7319487183442206
עבירות כלכליות,6.0,2018-Q4,7,0.5123641028409543
עבירות כלכליות,6.0,2019-Q1,15,1.097923077516331
עבירות כלכליות,6.0,2019-Q2,12,0.8783384620130646
עבירות כלכליות,6.0,2019-Q3,36,2.635015386039194
עבירות כלכליות,6.0,2019-Q4,8,0.5855589746753764
עבירות כלכליות,6.0,2020-Q1,19,1.390702564854019
עבירות כלכליות,6.0,2020-Q2,8,0.5855589746753764
עבירות כלכליות,6.0,2020-Q3,4,0.2927794873376882
עבירות כלכליות,6.0,2020-Q4,41,3.0009897452113043
עבירות כלכליות,6.0,2021-Q1,20,1.4638974366884412
עבירות כלכליות,6.0,2021-Q2,36,2.635015386039194
עבירות כלכליות,6.0,2021-Q3,64,4.6844717974030115
עבירות כלכליות,6.0,2021-Q4,45,3.2937692325489922
עבירות כלכליות,6.0,2022-Q1,84,6.148369234091453
עבירות כלכליות,6.0,2022-Q2,130,9.515333338474868
עבירות כלכליות,6.0,2022-Q3,88,6.4411487214291405
עבירות כלכליות,6.0,2022-Q4,71,5.196835900243966
עבירות כלכליות,6.0,2023-Q1,78,5.70920000308492
עבירות כלכליות,7.0,2018-Q1,21,4.089069356717028
עבירות כלכליות,7.0,2018-Q2,18,3.504916591471738
עבירות כלכליות,7.0,2018-Q3,33,6.425680417698187
עבירות כלכליות,7.0,2018-Q4,35,6.81511559452838
עבירות כלכליות,7.0,2019-Q1,51,9.930597009169924
עבירות כלכליות,7.0,2019-Q2,51,9.930597009169924
עבירות כלכליות,7.0,2019-Q3,15,2.9207638262264486
עבירות כלכליות,7.0,2019-Q4,22,4.283786945132125
עבירות כלכליות,7.0,2020-Q1,18,3.504916591471738
עבירות כלכליות,7.0,2020-Q2,19,3.699634179886835
עבירות כלכליות,7.0,2020-Q3,13,2.5313286493962552
עבירות כלכליות,7.0,2020-Q4,40,7.788703536603863
עבירות כלכליות,7.0,2021-Q1,47,9.151726655509538
עבירות כלכליות,7.0,2021-Q2,82,15.966842250037919
עבירות כלכליות,7.0,2021-Q3,75,14.603819131132243
עבירות כלכליות,7.0,2021-Q4,95,18.498170899434175
עבירות כלכליות,7.0,2022-Q1,159,30.960096558000355
עבירות כלכליות,7.0,2022-Q2,243,47.31637398486846
עבירות כלכליות,7.0,2022-Q3,215,41.864281509245764
עבירות כלכליות,7.0,2022-Q4,220,42.83786945132125
עבירות כלכליות,7.0,2023-Q1,217,42.253716686075954
עבירות כלכליות,8.0,2018-Q1,30,4.337590523125333
עבירות כלכליות,8.0,2018-Q2,28,4.0484178215836435
עבירות כלכליות,8.0,2018-Q3,19,2.747140664646044
עבירות כלכליות,8.0,2018-Q4,15,2.1687952615626664
עבירות כלכליות,8.0,2019-Q1,30,4.337590523125333
עבירות כלכליות,8.0,2019-Q2,26,3.759245120041955
עבירות כלכליות,8.0,2019-Q3,27,3.9038314708127992
עבירות כלכליות,8.0,2019-Q4,19,2.747140664646044
עבירות כלכליות,8.0,2020-Q1,17,2.457967963104355
עבירות כלכליות,8.0,2020-Q2,16,2.3133816123335107
עבירות כלכליות,8.0,2020-Q3,18,2.6025543138751996
עבירות כלכליות,8.0,2020-Q4,40,5.783454030833777
עבירות כלכליות,8.0,2021-Q1,28,4.0484178215836435
עבירות כלכליות,8.0,2021-Q2,28,4.0484178215836435
עבירות כלכליות,8.0,2021-Q3,52,7.51849024008391
עבירות כלכליות,8.0,2021-Q4,31,4.482176873896177
עבירות כלכליות,8.0,2022-Q1,109,15.75991223402204
עבירות כלכליות,8.0,2022-Q2,175,25.302611384897773
עבירות כלכליות,8.0,2022-Q3,128,18.507052898668086
עבירות כלכליות,8.0,2022-Q4,148,21.398779914084972
עבירות כלכליות,8.0,2023-Q1,176,25.447197735668617
עבירות כלכליות,9.0,2018-Q1,1,0.04565167652555728
עבירות כלכליות,9.0,2018-Q2,4,0.18260670610222912
עבירות כלכליות,9.0,2018-Q3,1,0.04565167652555728
עבירות כלכליות,9.0,2018-Q4,3,0.13695502957667183
עבירות כלכליות,9.0,2019-Q2,2,0.09130335305111456
עבירות כלכליות,9.0,2019-Q4,2,0.09130335305111456
עבירות כלכליות,9.0,2020-Q1,5,0.22825838262778642
עבירות כלכליות,9.0,2020-Q2,1,0.04565167652555728
עבירות כלכליות,9.0,2020-Q4,3,0.13695502957667183
עבירות כלכליות,9.0,2021-Q1,3,0.13695502957667183
עבירות כלכליות,9.0,2021-Q2,3,0.13695502957667183
עבירות כלכליות,9.0,2021-Q3,9,0.41086508873001554
עבירות כלכליות,9.0,2021-Q4,8,0.36521341220445824
עבירות כלכליות,9.0,2022-Q1,12,0.5478201183066873
עבירות כלכליות,9.0,2022-Q2,24,1.0956402366133746
עבירות כלכליות,9.0,2022-Q3,15,0.6847751478833592
עבירות כלכליות,9.0,2022-Q4,27,1.2325952661900466
עבירות כלכליות,9.0,2023-Q1,24,1.0956402366133746
עבירות כלכליות,10.0,2018-Q4,1,0.0032288830789559604
עבירות כלכליות,10.0,2019-Q3,3,0.009686649236867882
עבירות כלכליות,10.0,2019-Q4,1,0.0032288830789559604
עבירות כלכליות,10.0,2022-Q3,1,0.0032288830789559604
עבירות כלכליות,10.0,2022-Q4,4,0.012915532315823841
עבירות כלפי המוסר,1.0,2018-Q1,102,4.375241973423413
עבירות כלפי המוסר,1.0,2018-Q2,79,3.388667802945585
עבירות כלפי המוסר,1.0,2018-Q3,83,3.5602459195504244
עבירות כלפי המוסר,1.0,2018-Q4,103,4.418136502574623
עבירות כלפי המוסר,1.0,2019-Q1,85,3.6460349778528442
עבירות כלפי המוסר,1.0,2019-Q2,69,2.9597225114334855
עבירות כלפי המוסר,1.0,2019-Q3,36,1.5442030494435577
עבירות כלפי המוסר,1.0,2019-Q4,48,2.0589373992580766
עבירות כלפי המוסר,1.0,2020-Q1,52,2.2305155158629164
עבירות כלפי המוסר,1.0,2020-Q2,56,2.402093632467756
עבירות כלפי המוסר,1.0,2020-Q3,66,2.8310389239798557
עבירות כלפי המוסר,1.0,2020-Q4,60,2.573671749072596
עבירות כלפי המוסר,1.0,2021-Q1,49,2.1018319284092866
עבירות כלפי המוסר,1.0,2021-Q2,52,2.2305155158629164
עבירות כלפי המוסר,1.0,2021-Q3,45,1.930253811804447
עבירות כלפי המוסר,1.0,2021-Q4,38,1.6299921077459776
עבירות כלפי המוסר,1.0,2022-Q1,50,2.1447264575604965
עבירות כלפי המוסר,1.0,2022-Q2,26,1.1152577579314582
עבירות כלפי המוסר,1.0,2022-Q3,26,1.1152577579314582
עבירות כלפי המוסר,1.0,2022-Q4,41,1.7586756951996072
עבירות כלפי המוסר,1.0,2023-Q1,25,1.0723632287802483
עבירות כלפי המוסר,2.0,2018-Q1,1344,282.1806066495454
עבירות כלפי המוסר,2.0,2018-Q2,1045,219.40381990236227
עבירות כלפי המוסר,2.0,2018-Q3,1042,218.77395247680525
עבירות כלפי המוסר,2.0,2018-Q4,1033,216.8843502001342
עבירות כלפי המוסר,2.0,2019-Q1,1223,256.7759538187455
עבירות כלפי המוסר,2.0,2019-Q2,783,164.39539807038247
עבירות כלפי המוסר,2.0,2019-Q3,768,161.24606094259735
עבירות כלפי המוסר,2.0,2019-Q4,721,151.37813794220403
עבירות כלפי המוסר,2.0,2020-Q1,772,162.08588417667337
עבירות כלפי המוסר,2.0,2020-Q2,774,162.5057957937114
עבירות כלפי המוסר,2.0,2020-Q3,661,138.7807894310636
עבירות כלפי המוסר,2.0,2020-Q4,802,168.38455843224358
עבירות כלפי המוסר,2.0,2021-Q1,828,173.84340945373776
עבירות כלפי המוסר,2.0,2021-Q2,621,130.38255709030332
עבירות כלפי המוסר,2.0,2021-Q3,714,149.908447282571
עבירות כלפי המוסר,2.0,2021-Q4,780,163.76553064482545
עבירות כלפי המוסר,2.0,2022-Q1,692,145.28941949515283
עבירות כלפי המוסר,2.0,2022-Q2,447,93.85024640799611
עבירות כלפי המוסר,2.0,2022-Q3,404,84.82214664167881
עבירות כלפי המוסר,2.0,2022-Q4,472,99.0991416209713
עבירות כלפי המוסר,2.0,2023-Q1,421,88.39139538650194
עבירות כלפי המוסר,3.0,2018-Q1,285,23.172474028828578
עבירות כלפי המוסר,3.0,2018-Q2,171,13.903484417297149
עבירות כלפי המוסר,3.0,2018-Q3,218,17.72490995889344
עבירות כלפי המוסר,3.0,2018-Q4,199,16.180078356971535
עבירות כלפי המוסר,3.0,2019-Q1,297,24.148157145831888
עבירות כלפי המוסר,3.0,2019-Q2,180,14.635246755049629
עבירות כלפי המוסר,3.0,2019-Q3,216,17.562296106059556
עבירות כלפי המוסר,3.0,2019-Q4,139,11.301662771954991
עבירות כלפי המוסר,3.0,2020-Q1,136,11.057741992704164
עבירות כלפי המוסר,3.0,2020-Q2,168,13.65956363804632
עבירות כלפי המוסר,3.0,2020-Q3,155,12.602573594626069
עבירות כלפי המוסר,3.0,2020-Q4,156,12.683880521043012
עבירות כלפי המוסר,3.0,2021-Q1,174,14.147405196547975
עבירות כלפי המוסר,3.0,2021-Q2,146,11.870811256873589
עבירות כלפי המוסר,3.0,2021-Q3,151,12.2773458889583
עבירות כלפי המוסר,3.0,2021-Q4,139,11.301662771954991
עבירות כלפי המוסר,3.0,2022-Q1,129,10.488593507785568
עבירות כלפי המוסר,3.0,2022-Q2,80,6.504554113355391
עבירות כלפי המוסר,3.0,2022-Q3,63,5.12233636426737
עבירות כלפי המוסר,3.0,2022-Q4,77,6.260633334104564
עבירות כלפי המוסר,3.0,2023-Q1,105,8.537227273778951
עבירות כלפי המוסר,4.0,2018-Q1,694,26.239829403916307
עבירות כלפי המוסר,4.0,2018-Q2,399,15.086011429629115
עבירות כלפי המוסר,4.0,2018-Q3,382,14.443249037890531
עבירות כלפי המוסר,4.0,2018-Q4,366,13.838296198607159
עבירות כלפי המוסר,4.0,2019-Q1,561,21.21115892737327
עבירות כלפי המוסר,4.0,2019-Q2,320,12.099056785667461
עבירות כלפי המוסר,4.0,2019-Q3,275,10.397626925182974
עבירות כלפי המוסר,4.0,2019-Q4,342,12.9308669396821
עבירות כלפי המוסר,4.0,2020-Q1,407,15.388487849270803
עבירות כלפי המוסר,4.0,2020-Q2,383,14.481058590345743
עבירות כלפי המוסר,4.0,2020-Q3,274,10.359817372727763
עבירות כלפי המוסר,4.0,2020-Q4,358,13.535819778965472
עבירות כלפי המוסר,4.0,2021-Q1,371,14.027343960883213
עבירות כלפי המוסר,4.0,2021-Q2,325,12.288104547943515
עבירות כלפי המוסר,4.0,2021-Q3,235,8.885244826974542
עבירות כלפי המוסר,4.0,2021-Q4,308,11.645342156204931
עבירות כלפי המוסר,4.0,2022-Q1,553,20.90868250773158
עבירות כלפי המוסר,4.0,2022-Q2,236,8.923054379429752
עבירות כלפי המוסר,4.0,2022-Q3,173,6.541052574751471
עבירות כלפי המוסר,4.0,2022-Q4,212,8.015625120504692
עבירות כלפי המוסר,4.0,2023-Q1,247,9.338959456437072
עבירות כלפי המוסר,5.0,2018-Q1,1684,280.6450208103571
עבירות כלפי המוסר,5.0,2018-Q2,1252,208.65057366660756
עבירות כלפי המוסר,5.0,2018-Q3,1261,210.15045798210232
עבירות כלפי המוסר,5.0,2018-Q4,1226,204.31757453295594
עבירות כלפי המוסר,5.0,2019-Q1,1822,303.6432469812771
עבירות כלפי המוסר,5.0,2019-Q2,1083,180.48607929787218
עבירות כלפי המוסר,5.0,2019-Q3,1154,192.3185000089977
עבירות כלפי המוסר,5.0,2019-Q4,1067,177.8196182925481
עבירות כלפי המוסר,5.0,2020-Q1,1146,190.98526950633567
עבירות כלפי המוסר,5.0,2020-Q2,1240,206.65072791261449
עבירות כלפי המוסר,5.0,2020-Q3,1080,179.9861178593739
עבירות כלפי המוסר,5.0,2020-Q4,1274,212.31695754892812
עבירות כלפי המוסר,5.0,2021-Q1,1418,236.31510659684466
עבירות כלפי המוסר,5.0,2021-Q2,1146,190.98526950633567
עבירות כלפי המוסר,5.0,2021-Q3,1111,185.1523860571893
עבירות כלפי המוסר,5.0,2021-Q4,887,147.82193198265247
עבירות כלפי המוסר,5.0,2022-Q1,1197,199.4846139608061
עבירות כלפי המוסר,5.0,2022-Q2,831,138.48931846401825
עבירות כלפי המוסר,5.0,2022-Q3,718,119.65743761391711
עבירות כלפי המוסר,5.0,2022-Q4,746,124.3237443732342
עבירות כלפי המוסר,5.0,2023-Q1,769,128.15678206838754
עבירות כלפי המוסר,6.0,2018-Q1,1059,77.51336927265295
עבירות כלפי המוסר,6.0,2018-Q2,837,61.26410772541126
עבירות כלפי המוסר,6.0,2018-Q3,791,57.897143621027844
עבירות כלפי המוסר,6.0,2018-Q4,629,46.03957438385147
עבירות כלפי המוסר,6.0,2019-Q1,950,69.53512824270095
עבירות כלפי המוסר,6.0,2019-Q2,563,41.20871284277962
עבירות כלפי המוסר,6.0,2019-Q3,471,34.474784634012785
עבירות כלפי המוסר,6.0,2019-Q4,504,36.89021540454871
עבירות כלפי המוסר,6.0,2020-Q1,641,46.917912845864535
עבירות כלפי המוסר,6.0,2020-Q2,485,35.499512839694695
עבירות כלפי המוסר,6.0,2020-Q3,560,40.98912822727635
עבירות כלפי המוסר,6.0,2020-Q4,650,47.57666669237433
עבירות כלפי המוסר,6.0,2021-Q1,605,44.28289745982534
עבירות כלפי המוסר,6.0,2021-Q2,499,36.524241045376606
עבירות כלפי המוסר,6.0,2021-Q3,420,30.74184617045726
עבירות כלפי המוסר,6.0,2021-Q4,406,29.717117964775355
עבירות כלפי המוסר,6.0,2022-Q1,497,36.377851301707764
עבירות כלפי המוסר,6.0,2022-Q2,326,23.86152821802159
עבירות כלפי המוסר,6.0,2022-Q3,306,22.39763078133315
עבירות כלפי המוסר,6.0,2022-Q4,245,17.932743599433405
עבירות כלפי המוסר,6.0,2023-Q1,338,24.739866680034655
עבירות כלפי המוסר,7.0,2018-Q1,1845,359.2539506258532
עבירות כלפי המוסר,7.0,2018-Q2,1357,264.231767479286
עבירות כלפי המוסר,7.0,2018-Q3,1174,228.59844879932336
עבירות כלפי המוסר,7.0,2018-Q4,1024,199.39081053705888
עבירות כלפי המוסר,7.0,2019-Q1,1307,254.49588805853122
עבירות כלפי המוסר,7.0,2019-Q2,962,187.31832005532289
עבירות כלפי המוסר,7.0,2019-Q3,1047,203.8693150706061
עבירות כלפי המוסר,7.0,2019-Q4,966,188.0971904089833
עבירות כלפי המוסר,7.0,2020-Q1,786,153.0480244942659
עבירות כלפי המוסר,7.0,2020-Q2,970,188.87606076264368
עבירות כלפי המוסר,7.0,2020-Q3,900,175.24582957358692
עבירות כלפי המוסר,7.0,2020-Q4,1037,201.92213918645513
עבירות כלפי המוסר,7.0,2021-Q1,968,188.48662558581347
עבירות כלפי המוסר,7.0,2021-Q2,723,140.78081642411482
עבירות כלפי המוסר,7.0,2021-Q3,727,141.5596867777752
עבירות כלפי המוסר,7.0,2021-Q4,767,149.34839031437906
עבירות כלפי המוסר,7.0,2022-Q1,891,173.49337127785103
עבירות כלפי המוסר,7.0,2022-Q2,583,113.5203540460013
עבירות כלפי המוסר,7.0,2022-Q3,575,111.96261333868053
עבירות כלפי המוסר,7.0,2022-Q4,609,118.5830113447938
עבירות כלפי המוסר,7.0,2023-Q1,551,107.2893912167182
עבירות כלפי המוסר,8.0,2018-Q1,1421,205.4572044453699
עבירות כלפי המוסר,8.0,2018-Q2,1432,207.0476543038492
עבירות כלפי המוסר,8.0,2018-Q3,1383,199.96292311607783
עבירות כלפי המוסר,8.0,2018-Q4,1213,175.38324348503428
עבירות כלפי המוסר,8.0,2019-Q1,1575,227.72350246407996
עבירות כלפי המוסר,8.0,2019-Q2,1219,176.25076158965933
עבירות כלפי המוסר,8.0,2019-Q3,1518,219.48208047014182
עבירות כלפי המוסר,8.0,2019-Q4,1311,189.55270586057702
עבירות כלפי המוסר,8.0,2020-Q1,1331,192.44443287599393
עבירות כלפי המוסר,8.0,2020-Q2,1068,154.41822262326184
עבירות כלפי המוסר,8.0,2020-Q3,1152,166.56347608801278
עבירות כלפי המוסר,8.0,2020-Q4,1188,171.76858471576318
עבירות כלפי המוסר,8.0,2021-Q1,1192,172.34693011884656
עבירות כלפי המוסר,8.0,2021-Q2,987,142.70672821082343
עבירות כלפי המוסר,8.0,2021-Q3,1008,145.74304157701118
עבירות כלפי המוסר,8.0,2021-Q4,923,133.4532017614894
עבירות כלפי המוסר,8.0,2022-Q1,879,127.09140232757224
עבירות כלפי המוסר,8.0,2022-Q2,762,110.17479928738345
עבירות כלפי המוסר,8.0,2022-Q3,733,105.98179511502896
עבירות כלפי המוסר,8.0,2022-Q4,714,103.23465445038292
עבירות כלפי המוסר,8.0,2023-Q1,669,96.72826866569491
עבירות כלפי המוסר,9.0,2018-Q1,334,15.247659959536131
עבירות כלפי המוסר,9.0,2018-Q2,237,10.819447336557076
עבירות כלפי המוסר,9.0,2018-Q3,245,11.184660748761534
עבירות כלפי המוסר,9.0,2018-Q4,195,8.902076922483669
עבירות כלפי המוסר,9.0,2019-Q1,184,8.399908480702539
עבירות כלפי המוסר,9.0,2019-Q2,171,7.806436685870295
עבירות כלפי המוסר,9.0,2019-Q3,184,8.399908480702539
עבירות כלפי המוסר,9.0,2019-Q4,147,6.71079644925692
עבירות כלפי המוסר,9.0,2020-Q1,178,8.125998421549196
עבירות כלפי המוסר,9.0,2020-Q2,146,6.665144772731363
עבירות כלפי המוסר,9.0,2020-Q3,154,7.030358184935821
עבירות כלפי המוסר,9.0,2020-Q4,153,6.984706508410264
עבירות כלפי המוסר,9.0,2021-Q1,159,7.258616567563608
עבירות כלפי המוסר,9.0,2021-Q2,191,8.71947021638144
עבירות כלפי המוסר,9.0,2021-Q3,73,3.3325723863656815
עבירות כלפי המוסר,9.0,2021-Q4,110,5.021684417811301
עבירות כלפי המוסר,9.0,2022-Q1,119,5.432549506541316
עבירות כלפי המוסר,9.0,2022-Q2,92,4.1999542403512695
עבירות כלפי המוסר,9.0,2022-Q3,73,3.3325723863656815
עבירות כלפי המוסר,9.0,2022-Q4,70,3.19561735678901
עבירות כלפי המוסר,9.0,2023-Q1,104,4.747774358657957
עבירות כלפי המוסר,10.0,2018-Q1,3,0.009686649236867882
עבירות כלפי המוסר,10.0,2018-Q2,5,0.0161444153947798
עבירות כלפי המוסר,10.0,2018-Q3,14,0.04520436310538344
עבירות כלפי המוסר,10.0,2018-Q4,16,0.051662129263295366
עבירות כלפי המוסר,10.0,2019-Q1,23,0.07426431081598708
עבירות כלפי המוסר,10.0,2019-Q2,4,0.012915532315823841
עבירות כלפי המוסר,10.0,2019-Q3,9,0.029059947710603645
עבירות כלפי המוסר,10.0,2019-Q4,1,0.0032288830789559604
עבירות כלפי המוסר,10.0,2020-Q1,8,0.025831064631647683
עבירות כלפי המוסר,10.0,2020-Q2,10,0.0322888307895596
עבירות כלפי המוסר,10.0,2020-Q3,27,0.08717984313181093
עבירות כלפי המוסר,10.0,2020-Q4,12,0.038746596947471526
עבירות כלפי המוסר,10.0,2021-Q1,12,0.038746596947471526
עבירות כלפי המוסר,10.0,2021-Q2,4,0.012915532315823841
עבירות כלפי המוסר,10.0,2021-Q3,2,0.006457766157911921
עבירות כלפי המוסר,10.0,2021-Q4,9,0.029059947710603645
עבירות כלפי המוסר,10.0,2022-Q1,7,0.02260218155269172
עבירות כלפי המוסר,10.0,2022-Q2,2,0.006457766157911921
עבירות כלפי המוסר,10.0,2023-Q1,6,0.019373298473735763
עבירות כלפי הרכוש,1.0,2018-Q1,354,15.184663319528317
עבירות כלפי הרכוש,1.0,2018-Q2,316,13.55467121178234
עבירות כלפי הרכוש,1.0,2018-Q3,314,13.46888215347992
עבירות כלפי הרכוש,1.0,2018-Q4,332,14.240983678201697
עבירות כלפי הרכוש,1.0,2019-Q1,202,8.664694888544407
עבירות כלפי הרכוש,1.0,2019-Q2,204,8.750483946846826
עבירות כלפי הרכוש,1.0,2019-Q3,232,9.951530763080704
עבירות כלפי הרכוש,1.0,2019-Q4,248,10.637843229500064
עבירות כלפי הרכוש,1.0,2020-Q1,246,10.552054171197645
עבירות כלפי הרכוש,1.0,2020-Q2,184,7.892593363822628
עבירות כלפי הרכוש,1.0,2020-Q3,226,9.694163588173446
עבירות כלפי הרכוש,1.0,2020-Q4,233,9.994425292231915
עבירות כלפי הרכוש,1.0,2021-Q1,238,10.208897937987965
עבירות כלפי הרכוש,1.0,2021-Q2,286,12.26783533724604
עבירות כלפי הרכוש,1.0,2021-Q3,190,8.149960538729887
עבירות כלפי הרכוש,1.0,2021-Q4,241,10.337581525441594
עבירות כלפי הרכוש,1.0,2022-Q1,274,11.753100987431521
עבירות כלפי הרכוש,1.0,2022-Q2,262,11.238366637617002
עבירות כלפי הרכוש,1.0,2022-Q3,249,10.680737758651274
עבירות כלפי הרכוש,1.0,2022-Q4,280,12.010468162338782
עבירות כלפי הרכוש,1.0,2023-Q1,242,10.380476054592805
עבירות כלפי הרכוש,2.0,2018-Q1,3755,788.3840609888712
עבירות כלפי הרכוש,2.0,2018-Q2,3724,781.875430924782
עבירות כלפי הרכוש,2.0,2018-Q3,3613,758.5703361791722
עבירות כלפי הרכוש,2.0,2018-Q4,3802,798.2519839892645
עבירות כלפי הרכוש,2.0,2019-Q1,3408,715.5293954327758
עבירות כלפי הרכוש,2.0,2019-Q2,3483,731.2760810717012
עבירות כלפי הרכוש,2.0,2019-Q3,3398,713.4298373475857
עבירות כלפי הרכוש,2.0,2019-Q4,3121,655.2720783878208
עבירות כלפי הרכוש,2.0,2020-Q1,3101,651.0729622174406
עבירות כלפי הרכוש,2.0,2020-Q2,2700,566.8806830013189
עבירות כלפי הרכוש,2.0,2020-Q3,2897,608.2419772795632
עבירות כלפי הרכוש,2.0,2020-Q4,2718,570.6598875546609
עבירות כלפי הרכוש,2.0,2021-Q1,2654,557.2227158094445
עבירות כלפי הרכוש,2.0,2021-Q2,3345,702.3021794960783
עבירות כלפי הרכוש,2.0,2021-Q3,3124,655.9019458133778
עבירות כלפי הרכוש,2.0,2021-Q4,3177,667.0296036648851
עבירות כלפי הרכוש,2.0,2022-Q1,2802,588.2961754702575
עבירות כלפי הרכוש,2.0,2022-Q2,3053,640.9950834085283
עבירות כלפי הרכוש,2.0,2022-Q3,3037,637.6357904722241
עבירות כלפי הרכוש,2.0,2022-Q4,3012,632.386895259249
עבירות כלפי הרכוש,2.0,2023-Q1,2848,597.9541426621319
עבירות כלפי הרכוש,3.0,2018-Q1,501,40.73477013488814
עבירות כלפי הרכוש,3.0,2018-Q2,562,45.69449264632162
עבירות כלפי הרכוש,3.0,2018-Q3,488,39.67778009146788
עבירות כלפי הרכוש,3.0,2018-Q4,498,40.49084935563731
עבירות כלפי הרכוש,3.0,2019-Q1,456,37.075958446125725
עבירות כלפי הרכוש,3.0,2019-Q2,513,41.710453251891444
עבירות כלפי הרכוש,3.0,2019-Q3,471,38.29556234237986
עבירות כלפי הרכוש,3.0,2019-Q4,415,33.74237446303109
עבירות כלפי הרכוש,3.0,2020-Q1,395,32.11623593469224
עבירות כלפי הרכוש,3.0,2020-Q2,393,31.953622081858356
עבירות כלפי הרכוש,3.0,2020-Q3,474,38.53948312163069
עבירות כלפי הרכוש,3.0,2020-Q4,449,36.50680996120713
עבירות כלפי הרכוש,3.0,2021-Q1,427,34.7180575800344
עבירות כלפי הרכוש,3.0,2021-Q2,431,35.04328528570217
עבירות כלפי הרכוש,3.0,2021-Q3,445,36.18158225553936
עבירות כלפי הרכוש,3.0,2021-Q4,405,32.92930519886166
עבירות כלפי הרכוש,3.0,2022-Q1,427,34.7180575800344
עבירות כלפי הרכוש,3.0,2022-Q2,450,36.588116887624075
עבירות כלפי הרכוש,3.0,2022-Q3,529,43.01136407456252
עבירות כלפי הרכוש,3.0,2022-Q4,624,50.73552208417205
עבירות כלפי הרכוש,3.0,2023-Q1,474,38.53948312163069
עבירות כלפי הרכוש,4.0,2018-Q1,1032,39.01945813377756
עבירות כלפי הרכוש,4.0,2018-Q2,952,35.9946939373607
עבירות כלפי הרכוש,4.0,2018-Q3,1012,38.263267084673345
עבירות כלפי הרכוש,4.0,2018-Q4,974,36.826504091375334
עבירות כלפי הרכוש,4.0,2019-Q1,857,32.40278645411567
עבירות כלפי הרכוש,4.0,2019-Q2,911,34.44450228669705
עבירות כלפי הרכוש,4.0,2019-Q3,919,34.74697870633874
עבירות כלפי הרכוש,4.0,2019-Q4,922,34.860407363704375
עבירות כלפי הרכוש,4.0,2020-Q1,856,32.36497690166046
עבירות כלפי הרכוש,4.0,2020-Q2,913,34.520121391607475
עבירות כלפי הרכוש,4.0,2020-Q3,790,29.869546439616546
עבירות כלפי הרכוש,4.0,2020-Q4,843,31.87345271974272
עבירות כלפי הרכוש,4.0,2021-Q1,728,27.525354187393475
עבירות כלפי הרכוש,4.0,2021-Q2,1709,64.61652514595528
עבירות כלפי הרכוש,4.0,2021-Q3,960,36.297170357002386
עבירות כלפי הרכוש,4.0,2021-Q4,901,34.06640676214494
